InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
165334,Clark University,Worcester,MA,40.3627666,-75.91176286761947,242,0.5232897923477484,0.5633388646697173,0.4692501136516558,0.5096689224907337,519220197.404,884657660.136,568740820.07,315916840.066,Healthy,5,Healthy
212577,Franklin and Marshall College,Lancaster,PA,41.6480894,-80.14529767068235,243,0.4166179574764396,0.6416573885414689,0.5352290996486727,0.5090715188436666,478470289.609,936720028.046,724632741.279,212087286.767,Healthy,5,Healthy
226587,McMurry University,Abilene,TX,40.20281155,-77.19957403793873,244,0.5575694272231038,0.3922809890744138,0.5184179506897759,0.5088598475285429,81508840.133,204297301.948,181418362.939,22878939.009000003,Healthy,5,Healthy
224527,East Texas Baptist University,Marshall,TX,40.3345578,-76.51374559549934,245,0.5621834088017581,0.4805527893365258,0.4696914509509893,0.5088501664387804,38381286.655,185167186.581,141689028.371,43478158.21000001,Healthy,5,Healthy
141644,Hawaii Pacific University,Honolulu,HI,41.2454429,-76.99988254888089,246,0.5630644672832742,0.5593545024697553,0.4291799020405631,0.5087422423069188,47526999.914,238488641.338,40016509.01,198472132.328,Healthy,5,Healthy
178891,Ranken Technical College,Saint Louis,MO,34.010462950000004,-81.0199355569104,247,0.5377324122865923,0.4807902275806388,0.4936158225770317,0.508694210362106,15626770.275,139314960.007,129035989.499,10278970.508,Healthy,5,Healthy
174792,Saint Johns University,Collegeville,MN,34.9134907,-81.0431600314637,248,0.4483740608823893,0.5656775202521218,0.539920576193262,0.5084599378378101,348293685.553,615184924.293,570748243.304,44436680.98899996,Healthy,5,Healthy
154712,Benedictine College,Atchison,KS,34.046131849999995,-81.03038940347594,249,0.5010932827866053,0.5964617027428971,0.4708346021215804,0.508047905933725,80557269.571,242371013.565,197464476.643,44906536.92199999,Healthy,5,Healthy
217536,Salve Regina University,Newport,RI,34.952931050000004,-81.96916849432738,250,0.5054459765363807,0.5986081158613383,0.4633452620250948,0.5072203822400231,91651492.984,238187390.361,196084494.838,42102895.523,Healthy,5,Healthy
209825,University of Portland,Portland,OR,34.96115815,-81.93532160934096,251,0.5100808828449065,0.5027114759694126,0.5047394091270223,0.506470080628598,366209950.192,838240922.602,750761502.549,87479420.05299997,Healthy,5,Healthy
230959,Middlebury College,Middlebury,VT,43.69723515,-98.03046792635384,252,0.4523034668479366,0.566542358508578,0.5304195388190305,0.5064018732937305,1782253826.174,2097803452.454,1739989900.979,357813551.4749999,Healthy,5,Healthy
