InstitutionID,University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,FullAddress,lat,lon,Quantile_Label,Quantile_Group,Rank,Universities_in_State
164447,American International College,Springfield,MA,Not applicable,0.3442,0.42579999999999996,0.49119999999999997,0.41935,"American International College, Springfield, MA",42.11339535,-72.55728564424604,Vulnerable,2,593,51
164739,Bentley University,Waltham,MA,Not applicable,0.7967,0.5710000000000001,0.5092,0.63652,"Bentley University, Waltham, MA",42.3834189,-71.2225864285891,Elite,7,98,51
164748,Berklee College of Music,Boston,MA,Not applicable,0.9337000000000001,0.6922,0.49,0.70784,"Berklee College of Music, Boston, MA",42.3483475,-71.08487040303883,Elite,7,67,51
164872,Boston Architectural College,Boston,MA,Not applicable,0.2445,0.40009999999999996,0.48840000000000006,0.37322000000000005,"Boston Architectural College, Boston, MA",42.3484696,-71.08575407316081,Critical,0,798,51
164988,Boston University,Boston,MA,Not applicable,0.9987,0.9987,0.5124,0.80403,"Boston University, Boston, MA",42.3504215,-71.10322831831216,Elite,7,5,51
165015,Brandeis University,Waltham,MA,Not applicable,0.6981,0.5979,0.508,0.60198,"Brandeis University, Waltham, MA",42.36650945,-71.2580196483813,Strong,6,120,51
165334,Clark University,Worcester,MA,Not applicable,0.5402,0.5489,0.4964,0.52441,"Clark University, Worcester, MA",42.25146814999999,-71.82295086144981,Strong,6,206,51
165529,Curry College,Milton,MA,Not applicable,0.45899999999999996,0.4451,0.48960000000000004,0.46847,"Curry College, Milton, MA",42.2378786,-71.114711547038,Secure,4,357,51
165574,Dean College,Franklin,MA,Not applicable,0.3564,0.4118,0.49079999999999996,0.42127000000000003,"Dean College, Franklin, MA",42.08465314999999,-71.39983777231043,Vulnerable,2,582,51
165699,Endicott College,Beverly,MA,Not applicable,0.7037,0.5347,0.49920000000000003,0.58807,"Endicott College, Beverly, MA",42.55406905,-70.8441366229226,Strong,6,133,51
165802,Fisher College,Boston,MA,Not applicable,0.3231,0.4067,0.504,0.41222000000000003,"Fisher College, Boston, MA",42.3553679,-71.07373780610305,Vulnerable,2,626,51
165884,Benjamin Franklin Cummings Institute of Technology,Boston,MA,Not applicable,0.2922,0.4125,0.4832,0.39269,"Benjamin Franklin Cummings Institute of Technology, Boston, MA",,,At-Risk,1,723,51
166018,Hampshire College,Amherst,MA,Not applicable,0.3285,0.38170000000000004,0.4689,0.39533,"Hampshire College, Amherst, MA",42.32502175,-72.52940222329684,At-Risk,1,713,51
166027,Harvard University,Cambridge,MA,Not applicable,0.9307,0.9987,0.9987,0.97151,"Harvard University, Cambridge, MA",42.36574324999999,-71.12221394207614,Elite,7,1,51
166391,Lasell University,Newton,MA,Not applicable,0.3282,0.457,0.4813,0.41522,"Lasell University, Newton, MA",42.34106865,-71.24859630298465,Vulnerable,2,611,51
166452,Lesley University,Cambridge,MA,Not applicable,0.25370000000000004,0.4534,0.5032,0.39347,"Lesley University, Cambridge, MA",42.3864348,-71.1190947,At-Risk,1,718,51
166656,MCPHS University,Boston,MA,Not applicable,0.4813,0.7201000000000001,0.5489,0.55607,"MCPHS University, Boston, MA",,,Strong,6,159,51
166683,Massachusetts Institute of Technology,Cambridge,MA,Not applicable,0.7706999999999999,0.8248000000000001,0.5765,0.70377,"Massachusetts Institute of Technology, Cambridge, MA",42.3582529,-71.0966272383055,Elite,7,69,51
166911,Montserrat College of Art,Beverly,MA,Not applicable,0.2562,0.38670000000000004,0.4852,0.37394,"Montserrat College of Art, Beverly, MA",,,Critical,0,794,51
166939,Mount Holyoke College,South Hadley,MA,Not applicable,0.5156000000000001,0.45380000000000004,0.5378000000000001,0.51214,"Mount Holyoke College, South Hadley, MA",42.25532845,-72.56966884397315,Healthy,5,241,51
167057,The New England Conservatory of Music,Boston,MA,Not applicable,0.263,0.41490000000000005,0.5128,0.39334,"The New England Conservatory of Music, Boston, MA",,,At-Risk,1,720,51
167260,Nichols College,Dudley,MA,Not applicable,0.40399999999999997,0.4329,0.4932,0.44548000000000004,"Nichols College, Dudley, MA",42.0418482,-71.92971577727883,Stable,3,451,51
167358,Northeastern University,Boston,MA,Not applicable,0.9981,0.9987,0.494,0.79643,"Northeastern University, Boston, MA",42.33510525,-71.08925787470238,Elite,7,12,51
167783,Simmons University,Boston,MA,Not applicable,0.3882,0.6862,0.49,0.48849,"Simmons University, Boston, MA",42.33893544999999,-71.10043183883623,Healthy,5,288,51
167899,Springfield College,Springfield,MA,Not applicable,0.4125,0.4813,0.4892,0.45695,"Springfield College, Springfield, MA",42.10284205,-72.55671489399984,Secure,4,402,51
168005,Suffolk University,Boston,MA,Not applicable,0.7737,0.5878,0.486,0.62139,"Suffolk University, Boston, MA",42.3567011,-71.06105776439689,Strong,6,108,51
168148,Tufts University,Medford,MA,Not applicable,0.9516,0.8588,0.5047999999999999,0.7542,"Tufts University, Medford, MA",42.40649125,-71.11800725402092,Elite,7,38,51
168218,Wellesley College,Wellesley,MA,Not applicable,0.49920000000000003,0.45659999999999995,0.5553,0.51315,"Wellesley College, Wellesley, MA",42.29177605,-71.3032751636105,Healthy,5,239,51
168227,Wentworth Institute of Technology,Boston,MA,Not applicable,0.6668000000000001,0.5156000000000001,0.4916,0.56646,"Wentworth Institute of Technology, Boston, MA",42.33657245000001,-71.0953729508291,Strong,6,155,51
168254,Western New England University,Springfield,MA,Not applicable,0.5569,0.5124,0.4888,0.52075,"Western New England University, Springfield, MA",42.1125825,-72.51478135708936,Healthy,5,221,51
168342,Williams College,Williamstown,MA,Not applicable,0.5088,0.4542,0.5753,0.52451,"Williams College, Williamstown, MA",42.7130236,-73.2030082,Strong,6,205,51
168421,Worcester Polytechnic Institute,Worcester,MA,Not applicable,0.8739,0.6353,0.4924,0.6735099999999999,"Worcester Polytechnic Institute, Worcester, MA",42.274315,-71.80845674552586,Elite,7,84,51
169327,Cleary University,Howell,MI,Not applicable,0.2837,0.4443,0.4825,0.39537,"Cleary University, Howell, MI",42.58746595,-83.88048112861308,At-Risk,1,712,24
169442,College for Creative Studies,Detroit,MI,Not applicable,0.40049999999999997,0.41609999999999997,0.5072,0.44633,"College for Creative Studies, Detroit, MI",42.36128,-83.06304456769371,Stable,3,445,24
169479,Davenport University,Grand Rapids,MI,Not applicable,0.47729999999999995,0.5203,0.4829,0.48813,"Davenport University, Grand Rapids, MI",42.84920905,-85.53130919554428,Healthy,5,290,24
170532,Kalamazoo College,Kalamazoo,MI,Not applicable,0.44079999999999997,0.4219,0.5092,0.4644,"Kalamazoo College, Kalamazoo, MI",42.29075735,-85.59936465969835,Secure,4,374,24
170675,Lawrence Technological University,Southfield,MI,Not applicable,0.47090000000000004,0.4447,0.4892,0.47299,"Lawrence Technological University, Southfield, MI",42.4752647,-83.25063727571097,Secure,4,339,24
171492,Northwood University,Midland,MI,Not applicable,0.40869999999999995,0.4717,0.5044,0.4596,"Northwood University, Midland, MI",43.6311535,-84.27681755477265,Secure,4,391,24
173258,Carleton College,Northfield,MN,Not applicable,0.6022,0.4435,0.5497,0.54948,"Carleton College, Northfield, MN",44.4612233,-93.1557163,Strong,6,168,23
174127,Minneapolis College of Art and Design,Minneapolis,MN,Not applicable,0.3431,0.39740000000000003,0.3468,0.35542999999999997,"Minneapolis College of Art and Design, Minneapolis, MN",44.9566921,-93.27433002725542,Critical,0,832,23
174507,Northwestern Health Sciences University,Bloomington,MN,Not applicable,0.24350000000000002,0.4079,0.49479999999999996,0.37694000000000005,"Northwestern Health Sciences University, Bloomington, MN",44.8504407,-93.31183907344055,Critical,0,780,23
175227,Dunwoody College of Technology,Minneapolis,MN,Not applicable,0.5434,0.4364,0.5318999999999999,0.51742,"Dunwoody College of Technology, Minneapolis, MN",44.9731679,-93.29066773372568,Healthy,5,228,23
177038,Cleveland University-Kansas City,Overland Park,KS,Not applicable,0.2398,0.39130000000000004,0.46649999999999997,0.36082000000000003,"Cleveland University-Kansas City, Overland Park, KS",38.9322187,-94.67974333842893,Critical,0,826,17
